[15:30:10] [ServerMain/INFO]: Building unoptimized datafixer
[15:30:11] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[15:30:12] [ServerMain/INFO]: Loaded 7 recipes
[15:30:13] [Server thread/INFO]: Starting minecraft server version 1.19.3
[15:30:13] [Server thread/INFO]: Loading properties
[15:30:13] [Server thread/INFO]: This server is running Paper version git-Paper-396 (MC: 1.19.3) (Implementing API version 1.19.3-R0.1-SNAPSHOT) (Git: bd77b78)
[15:30:13] [Server thread/INFO]: Server Ping Player Sample Count: 12
[15:30:13] [Server thread/INFO]: Using 4 threads for Netty based IO
[15:30:13] [Server thread/INFO]: [ChunkTaskScheduler] Chunk system is using 1 I/O threads, 3 worker threads, and gen parallelism of 3 threads
[15:30:13] [Server thread/INFO]: Default game type: SURVIVAL
[15:30:13] [Server thread/INFO]: Generating keypair
[15:30:13] [Server thread/INFO]: Starting Minecraft server on *:25565
[15:30:13] [Server thread/INFO]: Using default channel type
[15:30:13] [Server thread/INFO]: Paper: Using Java compression from Velocity.
[15:30:13] [Server thread/INFO]: Paper: Using Java cipher from Velocity.
[15:30:14] [Server thread/INFO]: [GSit] Loading GSit v1.3.7
[15:30:14] [Server thread/INFO]: [Timber] Loading Timber v1.1.0
[15:30:14] [Server thread/INFO]: [floodgate] Loading floodgate v2.2.0-SNAPSHOT (b74-4f36112)
[15:30:15] [Server thread/INFO]: [floodgate] Demorou 391ms para inicializar o Floodgate
[15:30:15] [Server thread/INFO]: [Geyser-Spigot] Loading Geyser-Spigot v2.1.0-SNAPSHOT
[15:30:15] [Server thread/INFO]: [Geyser-Spigot] Carregando extensões...
[15:30:15] [Server thread/INFO]: [Geyser-Spigot] 0 extensão(ões) carregada
[15:30:15] [Server thread/INFO]: Server permissions file permissions.yml is empty, ignoring it
[15:30:15] [Server thread/INFO]: Preparing level "world"
[15:30:16] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[15:30:16] [Server thread/INFO]: Time elapsed: 139 ms
[15:30:16] [Server thread/INFO]: Preparing start region for dimension minecraft:the_nether
[15:30:16] [Server thread/INFO]: Time elapsed: 25 ms
[15:30:16] [Server thread/INFO]: Preparing start region for dimension minecraft:the_end
[15:30:16] [Server thread/INFO]: Time elapsed: 15 ms
[15:30:16] [Server thread/INFO]: [GSit] Enabling GSit v1.3.7
[15:30:16] [Server thread/INFO]: [GSit] The plugin was successfully enabled.
[15:30:17] [Server thread/INFO]: [Timber] Enabling Timber v1.1.0
[15:30:17] [Server thread/INFO]: Timber Log Materials: [ACACIA_LOG, CRIMSON_STEM, WARPED_STEM, OAK_LOG, BIRCH_LOG, SPRUCE_LOG, JUNGLE_LOG, DARK_OAK_LOG]
[15:30:17] [Server thread/INFO]: Timber Axe Materials: [WOODEN_AXE, GOLDEN_AXE, DIAMOND_AXE, STONE_AXE, NETHERITE_AXE, IRON_AXE]
[15:30:17] [Server thread/INFO]: [floodgate] Enabling floodgate v2.2.0-SNAPSHOT (b74-4f36112)
[15:30:17] [Server thread/INFO]: [Geyser-Spigot] Enabling Geyser-Spigot v2.1.0-SNAPSHOT
[15:30:18] [Server thread/INFO]: [Geyser-Spigot] ******************************************
[15:32:17] [Server thread/INFO]: DEEPSLATE
[15:32:17] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:17] [Server thread/INFO]: DEEPSLATE
[15:32:18] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:18] [Server thread/INFO]: DEEPSLATE
[15:32:18] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:18] [Server thread/INFO]: DEEPSLATE
[15:32:18] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:18] [Server thread/INFO]: DEEPSLATE
[15:32:19] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:19] [Server thread/INFO]: DEEPSLATE
[15:32:19] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:19] [Server thread/INFO]: DEEPSLATE
[15:32:26] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:26] [Server thread/INFO]: TUFF
[15:32:26] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:26] [Server thread/INFO]: TUFF
[15:32:27] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:27] [Server thread/INFO]: TUFF
[15:32:27] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:27] [Server thread/INFO]: TUFF
[15:32:27] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:27] [Server thread/INFO]: TUFF
[15:32:28] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:28] [Server thread/INFO]: TUFF
[15:32:28] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:28] [Server thread/INFO]: TUFF
[15:32:29] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:29] [Server thread/INFO]: TUFF
[15:32:29] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:29] [Server thread/INFO]: TUFF
[15:32:29] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:29] [Server thread/INFO]: TUFF
[15:32:30] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:30] [Server thread/INFO]: TUFF
[15:32:30] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:30] [Server thread/INFO]: TUFF
[15:32:31] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:31] [Server thread/INFO]: TUFF
[15:32:31] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:31] [Server thread/INFO]: TUFF
[15:32:32] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:32] [Server thread/INFO]: DEEPSLATE
[15:32:32] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:32] [Server thread/INFO]: TUFF
[15:32:33] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:33] [Server thread/INFO]: DEEPSLATE
[15:32:33] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:33] [Server thread/INFO]: DEEPSLATE
[15:32:33] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:33] [Server thread/INFO]: DEEPSLATE
[15:32:34] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:34] [Server thread/INFO]: DEEPSLATE
[15:32:34] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:34] [Server thread/INFO]: DEEPSLATE
[15:32:35] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:35] [Server thread/INFO]: DEEPSLATE
[15:32:35] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:35] [Server thread/INFO]: DEEPSLATE
[15:32:36] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:36] [Server thread/INFO]: DEEPSLATE
[15:32:36] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:36] [Server thread/INFO]: DEEPSLATE
[15:32:37] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:37] [Server thread/INFO]: DEEPSLATE
[15:32:38] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:38] [Server thread/INFO]: DEEPSLATE
[15:32:38] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:38] [Server thread/INFO]: DEEPSLATE
[15:32:39] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:39] [Server thread/INFO]: DEEPSLATE
[15:32:46] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:46] [Server thread/INFO]: DEEPSLATE_LAPIS_ORE
[15:33:26] [Server thread/INFO]: NETHERITE_PICKAXE
[15:33:26] [Server thread/INFO]: DEEPSLATE_TILES
[15:34:04] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:04] [Server thread/INFO]: TUFF
[15:34:04] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:04] [Server thread/INFO]: TUFF
[15:34:05] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:05] [Server thread/INFO]: TUFF
[15:34:05] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:05] [Server thread/INFO]: TUFF
[15:34:06] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:06] [Server thread/INFO]: TUFF
[15:34:06] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:06] [Server thread/INFO]: TUFF
[15:34:06] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:06] [Server thread/INFO]: TUFF
[15:34:07] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:07] [Server thread/INFO]: DEEPSLATE
[15:34:25] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:25] [Server thread/INFO]: DEEPSLATE
[15:34:26] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:26] [Server thread/INFO]: DEEPSLATE
[15:34:26] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:26] [Server thread/INFO]: DEEPSLATE
[15:34:27] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:27] [Server thread/INFO]: DEEPSLATE
[15:34:27] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:27] [Server thread/INFO]: TUFF
[15:34:28] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:28] [Server thread/INFO]: TUFF
[15:34:28] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:28] [Server thread/INFO]: DEEPSLATE
[15:34:28] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:28] [Server thread/INFO]: DEEPSLATE
[15:34:29] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:29] [Server thread/INFO]: DEEPSLATE
[15:34:29] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:29] [Server thread/INFO]: DEEPSLATE
[15:34:30] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:30] [Server thread/INFO]: TUFF
[15:34:30] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:30] [Server thread/INFO]: TUFF
[15:34:31] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:31] [Server thread/INFO]: DEEPSLATE
[15:34:31] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:31] [Server thread/INFO]: TUFF
[15:34:33] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:33] [Server thread/INFO]: TUFF
[15:34:33] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:33] [Server thread/INFO]: DEEPSLATE
[15:34:34] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:34] [Server thread/INFO]: DEEPSLATE
[15:34:34] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:34] [Server thread/INFO]: TUFF
[15:34:34] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:34] [Server thread/INFO]: DEEPSLATE
[15:34:35] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:35] [Server thread/INFO]: TUFF
[15:34:36] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:36] [Server thread/INFO]: TUFF
[15:34:36] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:36] [Server thread/INFO]: DEEPSLATE
[15:34:37] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:37] [Server thread/INFO]: DEEPSLATE
[15:34:37] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:37] [Server thread/INFO]: TUFF
[15:34:37] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:37] [Server thread/INFO]: DEEPSLATE
[15:34:38] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:38] [Server thread/INFO]: DEEPSLATE
[15:34:41] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:41] [Server thread/INFO]: TUFF
[15:34:41] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:41] [Server thread/INFO]: DEEPSLATE
[15:34:42] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:42] [Server thread/INFO]: TUFF
[15:34:42] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:42] [Server thread/INFO]: TUFF
[15:34:43] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:43] [Server thread/INFO]: TUFF
[15:34:43] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:43] [Server thread/INFO]: TUFF
[15:34:43] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:43] [Server thread/INFO]: TUFF
[15:34:44] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:44] [Server thread/INFO]: TUFF
[15:34:44] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:44] [Server thread/INFO]: TUFF
[15:34:45] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:45] [Server thread/INFO]: TUFF
[15:34:45] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:45] [Server thread/INFO]: TUFF
[15:34:45] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:45] [Server thread/INFO]: TUFF
[15:34:46] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:46] [Server thread/INFO]: TUFF
[15:34:46] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:46] [Server thread/INFO]: TUFF
[15:34:47] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:47] [Server thread/INFO]: TUFF
[15:34:47] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:47] [Server thread/INFO]: TUFF
[15:34:48] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:48] [Server thread/INFO]: TUFF
[15:34:49] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:49] [Server thread/INFO]: TUFF
[15:34:49] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:49] [Server thread/INFO]: TUFF
[15:34:49] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:49] [Server thread/INFO]: TUFF
[15:34:50] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:50] [Server thread/INFO]: TUFF
[15:34:50] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:50] [Server thread/INFO]: TUFF
[15:34:51] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:51] [Server thread/INFO]: TUFF
[15:34:51] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:51] [Server thread/INFO]: TUFF
[15:34:52] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:52] [Server thread/INFO]: TUFF
[15:34:52] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:52] [Server thread/INFO]: TUFF
[15:34:52] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:52] [Server thread/INFO]: TUFF
[15:34:53] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:53] [Server thread/INFO]: TUFF
[15:34:53] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:53] [Server thread/INFO]: TUFF
[15:34:54] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:54] [Server thread/INFO]: TUFF
[15:34:54] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:54] [Server thread/INFO]: TUFF
[15:34:55] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:55] [Server thread/INFO]: TUFF
[15:34:56] [Server thread/INFO]: NETHERITE_PICKAXE
[15:34:56] [Server thread/INFO]: DEEPSLATE_REDSTONE_ORE
[15:35:09] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:09] [Server thread/INFO]: DEEPSLATE
[15:35:10] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:10] [Server thread/INFO]: DEEPSLATE
[15:35:12] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:12] [Server thread/INFO]: DEEPSLATE
[15:35:12] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:12] [Server thread/INFO]: DEEPSLATE
[15:35:13] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:13] [Server thread/INFO]: DEEPSLATE
[15:35:13] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:13] [Server thread/INFO]: DEEPSLATE
[15:35:14] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:14] [Server thread/INFO]: TUFF
[15:35:14] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:14] [Server thread/INFO]: TUFF
[15:35:15] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:15] [Server thread/INFO]: TUFF
[15:35:15] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:15] [Server thread/INFO]: TUFF
[15:35:16] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:16] [Server thread/INFO]: TUFF
[15:35:17] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:17] [Server thread/INFO]: TUFF
[15:35:38] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:38] [Server thread/INFO]: TUFF
[15:35:38] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:38] [Server thread/INFO]: TUFF
[15:35:38] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:38] [Server thread/INFO]: TUFF
[15:35:39] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:39] [Server thread/INFO]: TUFF
[15:35:39] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:39] [Server thread/INFO]: TUFF
[15:35:40] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:40] [Server thread/INFO]: TUFF
[15:35:40] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:40] [Server thread/INFO]: TUFF
[15:35:40] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:40] [Server thread/INFO]: TUFF
[15:35:41] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:41] [Server thread/INFO]: TUFF
[15:35:41] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:41] [Server thread/INFO]: TUFF
[15:35:42] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:42] [Server thread/INFO]: TUFF
[15:35:42] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:42] [Server thread/INFO]: TUFF
[15:35:42] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:42] [Server thread/INFO]: TUFF
[15:35:43] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:43] [Server thread/INFO]: TUFF
[15:35:43] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:43] [Server thread/INFO]: TUFF
[15:35:44] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:44] [Server thread/INFO]: TUFF
[15:35:44] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:44] [Server thread/INFO]: TUFF
[15:35:44] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:44] [Server thread/INFO]: TUFF
[15:35:45] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:45] [Server thread/INFO]: TUFF
[15:35:45] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:45] [Server thread/INFO]: TUFF
[15:35:46] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:46] [Server thread/INFO]: TUFF
[15:35:46] [Server thread/INFO]: NETHERITE_PICKAXE
[15:35:46] [Server thread/INFO]: COBBLED_DEEPSLATE
[15:36:21] [Server thread/INFO]: NETHERITE_PICKAXE
[15:36:21] [Server thread/INFO]: DEEPSLATE
[15:36:22] [Server thread/INFO]: NETHERITE_PICKAXE
[15:36:22] [Server thread/INFO]: DEEPSLATE
[15:36:22] [Server thread/INFO]: NETHERITE_PICKAXE
[15:36:22] [Server thread/INFO]: DEEPSLATE
[15:36:23] [Server thread/INFO]: NETHERITE_PICKAXE
[15:36:23] [Server thread/INFO]: DEEPSLATE
[15:36:23] [Server thread/INFO]: NETHERITE_PICKAXE
[15:36:23] [Server thread/INFO]: DEEPSLATE
[15:36:24] [Server thread/INFO]: NETHERITE_PICKAXE
[15:36:24] [Server thread/INFO]: DEEPSLATE
[15:36:28] [Server thread/INFO]: NETHERITE_PICKAXE
[15:36:28] [Server thread/INFO]: DEEPSLATE
[15:36:28] [Server thread/INFO]: NETHERITE_PICKAXE
[15:36:28] [Server thread/INFO]: DEEPSLATE
[15:36:29] [Server thread/INFO]: NETHERITE_PICKAXE
[15:36:29] [Server thread/INFO]: DEEPSLATE
[15:36:29] [Server thread/INFO]: NETHERITE_PICKAXE
[15:36:29] [Server thread/INFO]: DEEPSLATE
[15:36:30] [Server thread/INFO]: NETHERITE_PICKAXE
[15:36:30] [Server thread/INFO]: DEEPSLATE
[15:36:30] [Server thread/INFO]: NETHERITE_PICKAXE
[15:36:30] [Server thread/INFO]: DEEPSLATE
[15:36:31] [Server thread/INFO]: NETHERITE_PICKAXE
[15:36:31] [Server thread/INFO]: DEEPSLATE
[15:36:31] [Server thread/INFO]: NETHERITE_PICKAXE
[15:36:31] [Server thread/INFO]: DEEPSLATE
[15:36:32] [Server thread/INFO]: NETHERITE_PICKAXE
[15:36:32] [Server thread/INFO]: DEEPSLATE
[15:36:39] [Server thread/INFO]: NETHERITE_PICKAXE
[15:36:39] [Server thread/INFO]: DEEPSLATE
[15:36:39] [Server thread/INFO]: NETHERITE_PICKAXE
[15:36:39] [Server thread/INFO]: DEEPSLATE
[15:36:42] [Server thread/INFO]: NETHERITE_PICKAXE
[15:36:42] [Server thread/INFO]: DEEPSLATE
[15:36:42] [Server thread/INFO]: NETHERITE_PICKAXE
[15:36:42] [Server thread/INFO]: DEEPSLATE
[15:36:43] [Server thread/INFO]: NETHERITE_PICKAXE
[15:36:43] [Server thread/INFO]: DEEPSLATE
